Created on 10-22-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-10-22,XRPUSD,0.4538,0.4568,0.4471,0.4488,1677079.11,757691.56
2018-10-21,XRPUSD,0.4557,0.4606,0.4512,0.4538,1723617.19,786912.93
2018-10-20,XRPUSD,0.4499,0.46,0.4462,0.4557,2568392.35,1167870.39
2018-10-19,XRPUSD,0.4551,0.4553,0.4437,0.4499,3889343.65,1745986.88
2018-10-18,XRPUSD,0.464,0.4722,0.44,0.4551,7679767.35,3493385.26
2018-10-17,XRPUSD,0.4637,0.4748,0.4522,0.464,7323994.42,3385832.13
2018-10-16,XRPUSD,0.4393,0.4393,0.4385,0.4385,0.0,0.0
2018-10-15,XRPUSD,0.3982,0.471,0.388,0.4393,18898838.72,8226656.95
2018-10-14,XRPUSD,0.4127,0.4224,0.3932,0.3982,3591333.09,1469199.04
2018-10-13,XRPUSD,0.4123,0.4261,0.4082,0.4127,4138314.39,1720227.57
2018-10-12,XRPUSD,0.3748,0.4392,0.3715,0.4123,10141137.41,4201556.35
2018-10-11,XRPUSD,0.4589,0.4589,0.2843,0.3748,21975860.41,8803124.27
2018-10-10,XRPUSD,0.4775,0.4775,0.45,0.4589,5081566.7,2347706.18
2018-10-09,XRPUSD,0.4874,0.49,0.4675,0.4775,3616405.69,1724104.88
2018-10-08,XRPUSD,0.4796,0.5,0.4759,0.4874,8956264.64,4367258.17
2018-10-07,XRPUSD,0.4819,0.4878,0.4659,0.4796,4554493.45,2159382.67
2018-10-06,XRPUSD,0.5171,0.5185,0.4615,0.4819,8246771.85,4019436.83
2018-10-05,XRPUSD,0.5255,0.5297,0.5038,0.5171,5050059.71,2607315.49
2018-10-04,XRPUSD,0.5253,0.5463,0.5226,0.5255,4766399.54,2544886.7
2018-10-03,XRPUSD,0.5136,0.5347,0.5019,0.5253,8320674.41,4319797.64
2018-10-02,XRPUSD,0.5745,0.5788,0.51,0.5136,8742917.08,4813374.72
2018-10-01,XRPUSD,0.5792,0.6045,0.532,0.5745,18368266.34,10384700.89
2018-09-30,XRPUSD,0.5678,0.619,0.5551,0.5792,11882745.25,7004609.94
2018-09-29,XRPUSD,0.5398,0.594,0.5249,0.5678,11321144.61,6334584.79
2018-09-28,XRPUSD,0.5438,0.55,0.515,0.5398,9014571.1,4819035.17
2018-09-27,XRPUSD,0.512,0.557,0.5056,0.5438,9915853.98,5271324.98
2018-09-26,XRPUSD,0.5246,0.5739,0.4829,0.512,25320234.5,13395720.16
2018-09-25,XRPUSD,0.4924,0.55,0.4335,0.5246,25853010.19,12225646.67
2018-09-24,XRPUSD,0.572,0.5833,0.481,0.4924,18199298.9,9450874.58
2018-09-23,XRPUSD,0.573,0.597,0.5562,0.572,9946159.11,5718491.59
2018-09-22,XRPUSD,0.5641,0.6287,0.4889,0.573,27678399.38,15471735.95
2018-09-21,XRPUSD,0.4482,0.8,0.4256,0.5641,64345959.38,36484815.76
